Post_ID,Hashtag,Region,Views,Likes,Shares,Comments,Engagement_Level,Platform_TikTok,Platform_Twitter,Platform_YouTube,Content_Type_Post,Content_Type_Reel,Content_Type_Shorts,Content_Type_Tweet,Content_Type_Video,Engagement_Label
Post_50,#Fashion,Japan,2747788,422463,21545,40997,Low,False,False,False,False,True,False,False,False,1
Post_51,#Dance,Australia,2081426,225061,67840,28774,Medium,False,False,True,True,False,False,False,False,0
Post_52,#Music,Canada,2258494,159509,25505,8605,Medium,False,False,True,False,False,False,False,False,0
Post_53,#Comedy,Japan,1357850,472399,90644,33331,Low,False,False,True,False,False,False,True,False,1
Post_54,#Fitness,Canada,392337,332566,43169,45161,Medium,False,True,False,False,True,False,False,False,1
Post_55,#Dance,USA,4006009,491965,60534,31438,High,False,True,False,False,True,False,False,False,1
Post_56,#Fitness,Australia,3934991,389693,81891,32967,Medium,False,False,True,False,False,False,True,False,1
Post_57,#Challenge,Australia,2824818,34126,53516,29452,Low,False,False,False,False,False,False,False,False,0
Post_58,#Dance,Australia,197986,184395,9408,7599,Medium,False,True,False,False,False,False,False,True,0
Post_59,#Challenge,Germany,2291491,474568,83894,6150,High,False,False,True,True,False,False,False,False,1
Post_60,#Music,UK,3525573,40967,4121,26381,Low,False,True,False,False,False,False,False,False,0
Post_61,#Music,USA,866896,122451,79602,25491,Low,True,False,False,False,True,False,False,False,0
Post_62,#Tech,Australia,4104535,331535,60374,13314,Medium,False,False,True,False,False,False,False,True,1
Post_63,#Dance,India,2601441,93254,55921,48758,Low,True,False,False,False,False,False,True,False,0
Post_64,#Gaming,Canada,1142030,212596,72334,18,High,False,False,False,False,False,True,False,False,0
Post_65,#Fashion,Canada,2969591,358102,26688,8128,Low,False,False,True,False,False,True,False,False,1
Post_66,#Education,Japan,855465,14117,73654,46422,High,True,False,False,True,False,False,False,False,0
Post_67,#Viral,Brazil,4453459,376054,36502,19620,High,False,False,True,False,False,False,False,True,1
Post_68,#Dance,Japan,1059696,75851,99754,47614,High,False,True,False,False,True,False,False,False,0
Post_69,#Fitness,USA,581577,341805,67524,485,High,False,True,False,False,False,False,True,False,1
Post_70,#Fitness,Australia,4226427,421149,53769,27804,Medium,False,False,True,False,False,False,True,False,1
Post_71,#Dance,Japan,485214,50577,92342,43775,Medium,False,True,False,False,True,False,False,False,0
Post_72,#Education,Australia,1419701,68719,98115,36515,Low,False,False,False,False,False,False,True,False,0
Post_73,#Fashion,Germany,4378457,136878,89273,41624,Medium,True,False,False,True,False,False,False,False,0
Post_74,#Music,India,3647159,216783,79133,7687,High,True,False,False,True,False,False,False,False,0
Post_75,#Gaming,USA,1750105,125485,942,20317,Low,False,False,True,False,False,False,False,True,0
Post_76,#Dance,India,1796369,145118,68421,16720,High,False,False,False,False,False,False,True,False,0
Post_77,#Fitness,India,1535141,15408,23087,23147,Medium,False,True,False,False,False,True,False,False,0
Post_78,#Challenge,Australia,612594,132163,29340,40557,Medium,False,True,False,False,False,False,False,True,0
Post_79,#Challenge,USA,4219632,171996,5043,3436,Medium,False,False,False,False,True,False,False,False,0
Post_80,#Viral,Japan,3994554,241425,99422,41307,High,False,True,False,False,False,True,False,False,0
Post_81,#Challenge,India,4290853,211176,66264,14337,Medium,False,False,False,False,False,True,False,False,0
Post_82,#Dance,Australia,284772,338933,22771,18899,Low,False,False,False,False,False,False,False,False,1
Post_83,#Gaming,Japan,4637078,219517,5831,32657,Low,False,False,False,False,False,False,False,False,0
Post_84,#Comedy,Brazil,3315125,62336,79392,42892,High,False,False,False,False,False,True,False,False,0
Post_85,#Fitness,Brazil,4357287,106179,4262,12978,Medium,False,True,False,False,False,True,False,False,0
Post_86,#Fitness,Canada,907386,52457,77192,32870,High,True,False,False,False,False,True,False,False,0
Post_87,#Gaming,India,1908555,194688,34182,3500,High,False,True,False,True,False,False,False,False,0
Post_88,#Challenge,Japan,3074269,18233,37713,28599,Medium,False,True,False,True,False,False,False,False,0
Post_89,#Dance,Brazil,4067125,190686,12963,11560,High,False,False,True,True,False,False,False,False,0
Post_90,#Fitness,Japan,1173157,137342,95328,47250,Low,False,False,True,False,True,False,False,False,0
Post_91,#Fitness,Germany,2141884,23466,66627,40003,High,True,False,False,False,True,False,False,False,0
Post_92,#Comedy,India,4567233,66980,96596,49121,Low,False,True,False,True,False,False,False,False,0
Post_93,#Gaming,UK,506074,69145,31191,43362,Low,False,True,False,True,False,False,False,False,0
Post_94,#Comedy,UK,3210080,195970,75414,4473,High,False,False,True,False,False,False,True,False,0
Post_95,#Tech,Germany,128472,444670,64311,7956,Medium,True,False,False,False,False,False,False,True,1
Post_96,#Music,India,1347102,274212,15298,28342,High,True,False,False,False,True,False,False,False,1
Post_97,#Tech,UK,92085,176687,5641,22316,Medium,True,False,False,False,False,False,False,False,0
Post_98,#Tech,Australia,3843536,90333,10903,30677,Medium,True,False,False,True,False,False,False,False,0
Post_99,#Viral,Germany,965073,263310,39207,27324,High,False,False,False,False,True,False,False,False,1
Post_100,#Education,Canada,3096420,364521,73308,29082,Low,False,False,True,True,False,False,False,False,1
Post_101,#Gaming,Germany,2723916,1349,81918,11870,High,False,False,True,False,False,False,True,False,0
Post_102,#Music,UK,2249678,46464,83075,5710,Medium,True,False,False,False,False,False,False,False,0
Post_103,#Viral,Germany,3311289,352538,55203,5369,Medium,False,True,False,False,False,True,False,False,1
Post_104,#Music,India,3588997,241125,65026,30917,Medium,False,False,False,False,False,False,True,False,0
Post_105,#Fitness,Japan,13562,11483,33641,30457,Medium,False,False,False,True,False,False,False,False,0
Post_106,#Fitness,USA,3926751,302919,49216,30399,Low,False,True,False,False,False,False,False,False,1
Post_107,#Music,UK,2750317,59766,75524,27938,High,False,False,True,False,False,False,True,False,0
Post_108,#Challenge,Germany,4655757,383024,45530,48504,Medium,True,False,False,False,True,False,False,False,1
Post_109,#Fitness,USA,4844012,452777,44862,23870,High,False,False,False,False,False,False,False,True,1
Post_110,#Dance,USA,3868789,188191,4660,26605,Medium,False,True,False,False,False,False,False,True,0
Post_111,#Viral,Australia,2517364,418305,51641,34605,High,False,True,False,False,False,False,True,False,1
Post_112,#Dance,Brazil,1994041,310266,87995,40217,Medium,False,False,False,False,False,False,False,True,1
Post_113,#Education,Australia,1402998,241244,56779,14849,High,True,False,False,False,False,True,False,False,0
Post_114,#Fashion,Brazil,702950,17361,62405,10538,Low,False,False,True,False,False,False,False,False,0
Post_115,#Education,Canada,1599554,364748,16705,8949,High,False,False,False,False,False,False,True,False,1
Post_116,#Tech,Australia,4600976,443617,98343,18038,High,True,False,False,True,False,False,False,False,1
Post_117,#Viral,USA,2495410,213884,16804,17614,Low,False,True,False,False,False,True,False,False,0
Post_118,#Dance,Germany,1838563,289125,77191,27066,High,True,False,False,False,False,False,False,True,1
Post_119,#Tech,India,2920650,416403,56902,2675,Low,False,False,True,False,False,True,False,False,1
Post_120,#Viral,Germany,1772623,361245,30503,13260,Low,True,False,False,False,False,False,False,True,1
Post_121,#Comedy,Australia,2484315,101605,80028,36281,High,False,False,False,False,False,True,False,False,0
Post_122,#Comedy,India,4927173,22341,38730,42476,Medium,False,False,True,False,False,False,False,False,0
Post_123,#Challenge,UK,3924183,283030,30676,43977,Low,True,False,False,False,False,False,False,True,1
Post_124,#Music,USA,4646060,21362,31562,19778,Medium,False,False,False,True,False,False,False,False,0
Post_125,#Fitness,USA,3901900,20166,30661,25363,Low,False,False,True,False,False,False,False,True,0
Post_126,#Fashion,Japan,962137,319381,69098,38387,Low,False,False,False,False,False,False,False,True,1
Post_127,#Education,Germany,3859007,277223,81798,46985,Medium,True,False,False,False,False,False,False,True,1
Post_128,#Challenge,UK,3837223,140163,85932,40674,Medium,False,True,False,False,False,True,False,False,0
Post_129,#Comedy,UK,1029488,449148,87211,35005,High,False,False,False,True,False,False,False,False,1
Post_130,#Fashion,Germany,879364,232290,7501,23547,Low,False,True,False,True,False,False,False,False,0
Post_131,#Comedy,USA,4828597,131837,43770,9395,Low,True,False,False,False,False,False,False,False,0
Post_132,#Education,India,3487375,107303,83451,45313,High,False,False,True,False,False,False,False,True,0
Post_133,#Dance,India,3418884,311286,82479,7832,High,True,False,False,False,False,False,True,False,1
Post_134,#Challenge,Brazil,1337059,318166,72711,32791,High,False,False,True,False,True,False,False,False,1
Post_135,#Education,Canada,707841,133933,46058,45912,High,True,False,False,False,False,False,False,False,0
Post_136,#Fitness,Australia,1851460,345987,13274,43872,Low,True,False,False,False,False,True,False,False,1
Post_137,#Fashion,Canada,1438248,223413,84930,42774,Low,False,False,False,False,False,False,True,False,0
Post_138,#Fashion,Brazil,4027409,80497,44156,14597,Medium,False,False,False,False,False,False,False,False,0
Post_139,#Music,India,3488909,443844,19877,22056,Low,False,False,False,False,False,False,False,True,1
Post_140,#Fitness,USA,1089083,150418,45387,25632,Medium,True,False,False,False,False,False,False,True,0
Post_141,#Fashion,Germany,682046,480038,71997,18117,High,True,False,False,False,False,False,False,False,1
Post_142,#Tech,Brazil,4849297,86843,16843,14705,Low,False,False,True,False,False,False,False,False,0
Post_143,#Challenge,USA,4283565,107901,84854,4738,Low,False,False,False,False,False,False,True,False,0
Post_144,#Comedy,India,50082,70708,277,25036,Low,False,True,False,False,False,True,False,False,0
Post_145,#Viral,USA,3940355,82304,68754,15897,Low,False,True,False,True,False,False,False,False,0
Post_146,#Education,Canada,964498,194879,76029,34998,High,False,False,False,False,True,False,False,False,0
Post_147,#Tech,UK,636824,363548,17456,8176,Low,True,False,False,False,False,True,False,False,1
Post_148,#Comedy,India,4179125,94325,72341,7328,Low,True,False,False,False,True,False,False,False,0
Post_149,#Gaming,Brazil,1292958,95304,3716,44880,Low,False,False,False,False,False,False,False,True,0
Post_150,#Viral,UK,4103477,75909,5645,4052,Low,False,False,False,False,True,False,False,False,0
Post_151,#Education,Germany,3529777,68367,38326,879,High,False,True,False,False,True,False,False,False,0
Post_152,#Fashion,USA,4593170,34210,33344,11022,Low,False,False,False,False,True,False,False,False,0
Post_153,#Challenge,Brazil,3251679,498580,96093,9968,Medium,True,False,False,False,False,True,False,False,1
Post_154,#Tech,Canada,41081,319140,6541,23057,Low,False,False,False,False,False,True,False,False,1
Post_155,#Dance,Canada,2127698,193956,14856,32442,Medium,False,True,False,False,False,True,False,False,0
Post_156,#Education,Australia,4765117,177035,49884,46238,Medium,False,False,True,False,False,True,False,False,0
Post_157,#Fitness,India,2114283,462542,14404,37153,Low,False,True,False,False,True,False,False,False,1
Post_158,#Fashion,Canada,4391275,392281,14429,27404,High,False,False,True,False,True,False,False,False,1
Post_159,#Gaming,India,1246500,471547,15048,40514,High,True,False,False,True,False,False,False,False,1
Post_160,#Music,Germany,4555977,1087,23157,12611,Medium,False,True,False,False,False,False,True,False,0
Post_161,#Gaming,India,400424,56569,59897,49341,Medium,False,True,False,False,False,False,True,False,0
Post_162,#Challenge,Brazil,3201846,335416,50986,16715,High,False,False,False,False,False,False,False,True,1
Post_163,#Gaming,Germany,102418,107650,94514,26548,Medium,True,False,False,False,False,False,False,True,0
Post_164,#Comedy,Australia,4253909,448284,39383,32995,Low,False,True,False,False,False,False,True,False,1
Post_165,#Fitness,Australia,1551922,47511,7404,25497,Low,True,False,False,False,False,False,False,False,0
Post_166,#Challenge,Germany,3587143,430347,96428,42640,Medium,False,False,True,True,False,False,False,False,1
Post_167,#Fashion,USA,2252593,61466,13181,29007,High,False,False,False,False,False,False,False,True,0
Post_168,#Challenge,Australia,2547290,382792,78654,30532,Medium,False,False,True,False,False,False,False,True,1
Post_169,#Viral,USA,2946297,223304,83502,10855,Low,False,False,True,False,True,False,False,False,0
Post_170,#Education,India,4459268,356292,52389,33857,Low,False,True,False,False,False,False,False,True,1
Post_171,#Music,Australia,1630617,435112,71742,49750,High,False,False,False,False,False,False,False,False,1
Post_172,#Education,USA,4709770,389553,55435,16799,Medium,False,False,False,False,False,False,False,False,1
Post_173,#Fitness,Australia,2275387,271817,72208,27046,High,False,False,False,False,False,False,True,False,1
Post_174,#Tech,Brazil,2784320,373955,22997,15361,High,True,False,False,False,False,False,True,False,1
Post_175,#Music,USA,3674194,19972,97555,24310,Medium,False,True,False,False,False,False,True,False,0
Post_176,#Music,UK,2126429,36274,51278,44234,Medium,False,False,True,True,False,False,False,False,0
Post_177,#Fitness,USA,1598712,280260,58128,4485,High,False,False,True,False,False,True,False,False,1
Post_178,#Fashion,Australia,3464211,115302,63150,37858,Medium,False,True,False,False,False,False,False,True,0
Post_179,#Fitness,UK,1519290,495937,13211,49107,Low,False,True,False,False,True,False,False,False,1
Post_180,#Fitness,Canada,4888613,414422,11933,23903,High,False,False,False,False,False,False,True,False,1
Post_181,#Viral,USA,3712060,302466,63802,49953,Low,False,True,False,False,False,True,False,False,1
Post_182,#Tech,UK,4003071,22251,13517,13392,Low,False,False,False,False,True,False,False,False,0
Post_183,#Dance,Germany,681752,197632,98860,19379,High,False,False,False,False,False,False,False,True,0
Post_184,#Gaming,Germany,4684548,122401,82864,42106,Low,False,False,False,False,False,True,False,False,0
Post_185,#Tech,UK,3916842,292224,72417,38211,High,False,False,False,False,False,False,False,True,1
Post_186,#Dance,UK,798887,326922,87308,21689,Medium,True,False,False,False,True,False,False,False,1
Post_187,#Gaming,Australia,688077,243607,79071,12078,High,False,True,False,False,False,False,False,True,0
Post_188,#Challenge,Japan,1520250,214233,80,10917,Medium,False,True,False,False,True,False,False,False,0
Post_189,#Fashion,Australia,496652,106618,64875,44200,High,True,False,False,True,False,False,False,False,0
Post_190,#Education,India,479620,337321,99486,26524,Medium,True,False,False,False,True,False,False,False,1
Post_191,#Education,USA,4221739,291223,61415,44293,Low,False,False,True,False,True,False,False,False,1
Post_192,#Education,Brazil,4425196,324343,33641,22289,High,False,True,False,False,False,False,False,False,1
Post_193,#Comedy,UK,4236960,259668,86293,16169,Low,False,False,False,False,False,True,False,False,1
Post_194,#Education,India,2488223,177673,86535,39991,Low,True,False,False,False,True,False,False,False,0
Post_195,#Dance,UK,2809035,359231,78623,27822,Medium,False,False,True,False,False,False,False,False,1
Post_196,#Music,Brazil,444252,398838,7767,19133,High,False,False,True,False,False,True,False,False,1
Post_197,#Fashion,India,907575,42770,5219,47956,Low,False,False,False,False,True,False,False,False,0
Post_198,#Dance,Canada,2440215,199343,53628,10359,Medium,True,False,False,True,False,False,False,False,0
Post_199,#Comedy,USA,3982001,131915,64092,22170,Medium,True,False,False,False,False,True,False,False,0
Post_200,#Fashion,Brazil,3802724,457464,83495,19409,High,False,True,False,False,True,False,False,False,1
Post_201,#Dance,Australia,3049554,441149,46483,36909,Low,False,False,True,False,False,True,False,False,1
Post_202,#Fashion,Germany,3186810,312491,66586,7390,Medium,False,False,True,False,False,False,False,True,1
Post_203,#Gaming,Australia,810296,77866,87591,41350,High,False,False,True,False,False,False,False,False,0
Post_204,#Dance,UK,4459224,957,54290,47674,High,False,True,False,True,False,False,False,False,0
Post_205,#Viral,USA,741152,226355,58251,46227,High,False,False,False,True,False,False,False,False,0
Post_206,#Fashion,USA,2945128,368541,66690,3800,Medium,False,True,False,False,False,False,True,False,1
Post_207,#Music,Canada,2302342,153529,52488,41257,High,False,True,False,True,False,False,False,False,0
Post_208,#Fashion,Australia,469793,295293,29190,9480,Medium,False,False,True,False,False,True,False,False,1
Post_209,#Comedy,UK,2452099,320043,91765,2987,Low,False,True,False,False,False,False,False,False,1
Post_210,#Tech,UK,2651939,209375,2127,12291,Low,True,False,False,False,False,False,False,False,0
Post_211,#Fitness,India,1580449,299597,35471,1908,High,True,False,False,False,False,True,False,False,1
Post_212,#Dance,India,4764800,52536,65976,47528,Medium,False,False,False,False,False,False,True,False,0
Post_213,#Comedy,Japan,4336145,295452,2342,22411,Medium,False,True,False,False,False,False,True,False,1
Post_214,#Viral,Japan,4316287,188239,34891,39029,Medium,False,False,False,False,False,True,False,False,0
Post_215,#Gaming,Japan,1516746,272088,48475,36816,Medium,False,True,False,False,False,False,True,False,1
Post_216,#Fitness,USA,4497673,460735,96637,47633,Medium,True,False,False,True,False,False,False,False,1
Post_217,#Dance,UK,1200639,381211,2574,40242,Medium,False,False,True,False,False,False,False,False,1
Post_218,#Viral,USA,3115115,81186,14964,1885,Low,False,False,True,False,False,False,True,False,0
Post_219,#Dance,India,89968,450376,40577,19844,Medium,False,True,False,False,False,False,True,False,1
Post_220,#Dance,Japan,2177828,478703,86167,17109,Medium,True,False,False,False,False,False,True,False,1
Post_221,#Viral,India,306511,404600,32664,35337,Medium,False,True,False,False,False,True,False,False,1
Post_222,#Music,UK,4422912,199110,95413,32057,Low,False,False,False,False,True,False,False,False,0
Post_223,#Tech,UK,4326885,300734,1870,1496,Medium,False,False,False,True,False,False,False,False,1
Post_224,#Music,Germany,4732360,84552,21664,36363,Medium,False,False,True,False,False,False,False,False,0
Post_225,#Gaming,Japan,2510808,348707,17968,46925,High,False,False,True,False,False,False,False,True,1
Post_226,#Education,USA,2710672,252420,23167,5670,Low,False,False,False,False,False,False,False,True,1
Post_227,#Fitness,Australia,4096796,365062,58371,48138,Medium,True,False,False,False,False,True,False,False,1
Post_228,#Gaming,UK,940184,131729,1559,12135,Low,False,False,True,False,False,False,False,False,0
Post_229,#Viral,USA,2184148,326178,46185,1902,High,False,True,False,False,False,True,False,False,1
Post_230,#Challenge,Australia,1498512,205870,16834,34865,Medium,False,False,False,False,False,True,False,False,0
Post_231,#Dance,Germany,4300552,428951,18627,12148,Low,False,False,False,False,False,False,False,True,1
Post_232,#Challenge,Japan,3267055,133930,81976,22080,Low,False,False,True,False,True,False,False,False,0
Post_233,#Fitness,Canada,2095875,78244,43598,16006,Low,True,False,False,True,False,False,False,False,0
Post_234,#Education,USA,1465227,158579,8809,33511,High,False,False,True,False,False,True,False,False,0
Post_235,#Viral,Japan,1715566,326676,69635,19235,Low,False,False,True,False,True,False,False,False,1
Post_236,#Fitness,Brazil,4708687,133736,49028,3765,Medium,False,False,False,False,True,False,False,False,0
Post_237,#Challenge,UK,1091635,198291,5604,31314,Medium,False,False,True,False,False,False,True,False,0
Post_238,#Dance,UK,1111002,266261,22269,39363,Low,True,False,False,False,True,False,False,False,1
Post_239,#Comedy,Japan,869375,123390,59716,46989,Low,False,False,True,True,False,False,False,False,0
Post_240,#Gaming,Japan,2551247,384714,36284,18974,High,False,True,False,False,False,False,False,True,1
Post_241,#Viral,India,920528,400658,58158,26810,High,False,False,True,False,False,True,False,False,1
Post_242,#Viral,Japan,2846948,55585,27235,29699,Medium,False,False,True,False,False,True,False,False,0
Post_243,#Fashion,UK,2801638,111973,60593,35663,Medium,False,False,False,False,False,True,False,False,0
Post_244,#Dance,Canada,1556267,56055,12612,20474,Low,True,False,False,False,False,False,False,True,0
Post_245,#Viral,Brazil,1828433,126683,82181,48618,Low,True,False,False,True,False,False,False,False,0
Post_246,#Dance,UK,3988715,211316,4804,33837,Medium,False,False,True,True,False,False,False,False,0
Post_247,#Fashion,Canada,3290858,250085,41283,20251,High,True,False,False,False,False,False,False,True,1
Post_248,#Viral,USA,3703315,449350,54600,26510,Medium,False,False,True,False,False,False,True,False,1
Post_249,#Education,Canada,506215,303740,98918,36904,Medium,True,False,False,True,False,False,False,False,1
Post_250,#Fitness,Canada,762333,406861,79834,13785,Medium,False,False,True,True,False,False,False,False,1
Post_251,#Dance,Brazil,3252738,420498,5811,2661,High,False,True,False,True,False,False,False,False,1
Post_252,#Fashion,Germany,4080585,203708,22677,23693,Medium,False,False,False,False,False,False,True,False,0
Post_253,#Comedy,Germany,1450112,409512,91982,9118,Medium,True,False,False,False,False,False,True,False,1
Post_254,#Gaming,UK,2512592,418988,4122,18706,Low,False,True,False,True,False,False,False,False,1
Post_255,#Fitness,Japan,3714148,291659,27722,28024,High,True,False,False,False,False,False,False,True,1
Post_256,#Challenge,USA,2276898,337038,56049,13735,Medium,False,True,False,False,False,False,True,False,1
Post_257,#Challenge,Australia,342675,493624,4168,35727,Low,False,False,True,False,False,True,False,False,1
Post_258,#Fitness,Australia,2787914,198350,96753,45466,Medium,False,False,False,True,False,False,False,False,0
Post_259,#Comedy,USA,893271,69359,66059,43386,Medium,False,False,False,False,False,False,True,False,0
Post_260,#Dance,Japan,2061951,381908,33698,25476,High,False,False,True,True,False,False,False,False,1
Post_261,#Music,Canada,3823345,32222,64447,44453,High,False,True,False,False,True,False,False,False,0
Post_262,#Fitness,USA,4330038,118835,19134,27781,High,False,True,False,False,False,False,False,False,0
Post_263,#Fitness,Canada,2714016,86422,85827,36320,High,False,False,True,False,False,False,False,True,0
Post_264,#Music,Canada,4588770,448601,52948,32818,Medium,False,False,False,False,False,False,True,False,1
Post_265,#Tech,Canada,485489,265199,14446,34447,Low,False,False,False,False,False,False,False,True,1
Post_266,#Education,UK,2688752,472554,2742,14495,Low,False,False,True,True,False,False,False,False,1
Post_267,#Comedy,Brazil,2417512,154294,98184,18043,Medium,False,False,True,True,False,False,False,False,0
Post_268,#Comedy,Japan,1612356,488560,75088,11999,Low,True,False,False,False,False,False,True,False,1
Post_269,#Dance,Japan,242459,366128,20712,22677,Medium,False,False,False,False,False,True,False,False,1
Post_270,#Dance,UK,4041579,326486,69020,47705,High,False,True,False,False,False,False,False,False,1
Post_271,#Dance,Canada,2214561,156292,18753,3643,Medium,False,True,False,True,False,False,False,False,0
Post_272,#Dance,UK,2524440,262085,98352,37571,High,False,False,True,True,False,False,False,False,1
Post_273,#Viral,Canada,4675636,328475,4510,45120,Low,False,False,False,False,True,False,False,False,1
Post_274,#Tech,UK,1093553,43035,52724,29091,Low,False,False,True,False,False,False,False,False,0
Post_275,#Music,Australia,2860355,157614,70326,47778,Medium,False,True,False,False,False,False,True,False,0
Post_276,#Fitness,USA,4643597,200851,87149,35230,Low,False,True,False,False,False,False,False,True,0
Post_277,#Challenge,Brazil,4889936,142520,56142,26214,High,False,True,False,False,True,False,False,False,0
Post_278,#Education,Japan,1483481,353517,41615,11414,Low,True,False,False,False,True,False,False,False,1
Post_279,#Dance,Germany,734933,421895,50675,12150,Medium,False,False,False,False,False,False,True,False,1
Post_280,#Fashion,Japan,4485712,464196,67958,45876,High,False,False,True,False,True,False,False,False,1
Post_281,#Comedy,UK,1165962,105888,48384,47511,High,False,True,False,False,False,True,False,False,0
Post_282,#Gaming,India,791211,251591,9900,36509,High,False,True,False,False,False,False,True,False,1
Post_283,#Dance,UK,755921,275570,36739,37643,High,False,False,True,True,False,False,False,False,1
Post_284,#Fitness,India,1966067,136472,63614,18304,Medium,False,False,False,False,False,False,True,False,0
Post_285,#Fashion,Germany,3275624,455318,72364,39134,Medium,False,True,False,False,False,False,True,False,1
Post_286,#Comedy,India,4914869,200375,2393,37178,Medium,False,True,False,False,False,False,False,False,0
Post_287,#Music,Japan,694970,180020,88660,5645,High,False,True,False,False,False,False,True,False,0
Post_288,#Comedy,Australia,2507996,317525,50404,25462,High,False,False,True,False,False,False,True,False,1
